iter	Logloss
0	0.6881453679
1	0.6846143876
2	0.6803464882
3	0.6768937325
4	0.6735068858
5	0.6693225587
6	0.6665315196
7	0.6635437766
8	0.6594935933
9	0.6573380625
10	0.6549160274
11	0.6517998033
12	0.6493687302
13	0.6468542898
14	0.6429765439
15	0.6394457392
16	0.6361167862
17	0.633854302
18	0.6322118014
19	0.6290118112
20	0.6258858412
21	0.6238523095
22	0.6211558784
23	0.6179383363
24	0.6160800647
25	0.6133700299
26	0.6120440127
27	0.6103217241
28	0.6085183993
29	0.6068051806
30	0.6045298874
31	0.602032004
32	0.5998993487
33	0.5981033928
34	0.5953182852
35	0.5941708665
36	0.5920849713
37	0.5905278458
38	0.5883665491
39	0.5858970737
40	0.583944848
41	0.5825129964
42	0.5808726001
43	0.5787992094
44	0.5770210496
45	0.5751987421
46	0.5734001001
47	0.5715082699
48	0.5708356972
49	0.5696696643
50	0.5690526772
51	0.5668724327
52	0.5655869238
53	0.563076294
54	0.5627966639
55	0.5607988612
56	0.5592196894
57	0.5584385282
58	0.5579426627
59	0.5567038536
60	0.5560311991
61	0.5546032961
62	0.5542393198
63	0.5525351527
64	0.5523270069
65	0.5520560094
66	0.55134899
67	0.5496013477
68	0.5479842291
69	0.5465533365
70	0.546083322
71	0.5456000408
72	0.5447499404
73	0.5445522642
74	0.5441287423
75	0.5428217995
76	0.5422311143
77	0.5402780868
78	0.539319844
79	0.5380540277
80	0.5372998633
81	0.5365625022
82	0.536272353
83	0.535892382
84	0.5344344623
85	0.5334336001
86	0.5322434324
87	0.531801694
88	0.5313976322
89	0.5310805307
90	0.5308793099
91	0.5306354096
92	0.5301389535
93	0.5294476033
94	0.529099527
95	0.5287875302
96	0.5284066696
97	0.5280625391
98	0.5275692428
99	0.5271823774
100	0.5268530138
101	0.5262298804
102	0.5257893361
103	0.5255649261
104	0.5253059601
105	0.5237230269
106	0.5235571319
107	0.5231561202
108	0.5229401306
109	0.5226545551
110	0.5217576826
111	0.5210680659
112	0.5208058774
113	0.5189363536
114	0.5182203353
115	0.5180562515
116	0.5177020881
117	0.5173441951
118	0.5170015685
119	0.516571159
120	0.5159874328
121	0.5151996277
122	0.5148821783
123	0.5145370081
124	0.5139288658
125	0.5122745808
126	0.5108863545
127	0.5106343893
128	0.5096819799
129	0.5093469637
130	0.5091848419
131	0.5077444243
132	0.5067432794
133	0.5065312477
134	0.5054347261
135	0.5051705302
136	0.5048195146
137	0.5044216457
138	0.5038854597
139	0.5036621665
140	0.5033039735
141	0.5025369238
142	0.5023830364
143	0.5007676671
144	0.4999585652
145	0.4995925143
146	0.4986887729
147	0.4984981114
148	0.4982523484
149	0.4981064188
150	0.4978352624
151	0.4974822574
152	0.4968761595
153	0.4963309701
154	0.4961330575
155	0.4958778994
156	0.4957984681
157	0.4956186608
158	0.4954384545
159	0.4951269429
160	0.4943640624
161	0.4937423293
162	0.4936490157
163	0.4931618306
164	0.4922686747
165	0.491931525
166	0.49116972
167	0.490351178
168	0.4900776647
169	0.4897327653
170	0.4889703723
171	0.4887639192
172	0.4885240329
173	0.4883094502
174	0.488193891
175	0.4875091522
176	0.4873074061
177	0.4871244154
178	0.4866854313
179	0.4856530104
180	0.4844484157
181	0.4843538667
182	0.4841215272
183	0.4839096833
184	0.4837898941
185	0.4834787353
186	0.4834063659
187	0.4826260363
188	0.4824668098
189	0.4822874441
190	0.4814176283
191	0.4810658379
192	0.480965194
193	0.4808325867
194	0.4807277153
195	0.4805680205
196	0.4803007483
197	0.4797780422
198	0.4795250191
199	0.4787259775
200	0.4786110408
201	0.4784406005
202	0.478344268
203	0.4780591323
204	0.4777868081
205	0.4776966906
206	0.477230659
207	0.4759610294
208	0.4755783415
209	0.4755147041
