iter	Logloss
0	0.6896840733
1	0.685688473
2	0.6826526019
3	0.6803406271
4	0.675867267
5	0.6721852602
6	0.6683009627
7	0.6648587976
8	0.6617651893
9	0.6602715382
10	0.6573543255
11	0.6534267925
12	0.6504168651
13	0.6469578446
14	0.6439408056
15	0.6406998145
16	0.6375101958
17	0.6342447469
18	0.6311661818
19	0.6281246226
20	0.6253149718
21	0.6229327562
22	0.6204718623
23	0.6171623201
24	0.6153022824
25	0.6125741037
26	0.6099580805
27	0.607473446
28	0.60502358
29	0.6014382794
30	0.5989254943
31	0.5957760215
32	0.5933369269
33	0.5912458083
34	0.5887294826
35	0.5858987366
36	0.5834159283
37	0.5806733949
38	0.5782974915
39	0.5760565411
40	0.5739404936
41	0.5711342345
42	0.5678217023
43	0.5661041678
44	0.5638336995
45	0.5614726473
46	0.559061095
47	0.5574388534
48	0.5547819897
49	0.5524545463
50	0.5500173612
51	0.5480143513
52	0.5457525991
53	0.5433993579
54	0.541469744
55	0.5386896199
56	0.5363631086
57	0.5342428851
58	0.532166769
59	0.5296950901
60	0.5270617413
61	0.5245757098
62	0.5226721489
63	0.5206229897
64	0.5185176565
65	0.5168190556
66	0.5147845186
67	0.5130857056
68	0.5112164596
69	0.5092153903
70	0.506808774
71	0.5053980281
72	0.5030681761
73	0.5010684491
74	0.4989889781
75	0.4970315807
76	0.4949831439
77	0.493884486
78	0.4918391468
79	0.4895161236
80	0.4880182203
81	0.4862595619
82	0.4845495614
83	0.4829196109
84	0.4815515849
85	0.4798552686
86	0.4781941699
87	0.4769068807
88	0.4754846196
89	0.473465529
90	0.4720131784
91	0.470244302
92	0.4684198761
93	0.4670869005
94	0.4658756276
95	0.4645829749
96	0.4630210262
97	0.4622011872
98	0.460545616
99	0.4593542283
100	0.457802455
101	0.4564408751
102	0.4548937471
103	0.4535728288
104	0.4519800244
105	0.4508661113
106	0.4493758043
107	0.4479023917
108	0.4464819231
109	0.445073424
110	0.4437686253
111	0.4422310634
112	0.4409600918
113	0.4393467803
114	0.4381761604
115	0.4372230948
116	0.4359571425
117	0.4345876832
118	0.4333917533
119	0.4319486363
120	0.4307592161
121	0.4295849861
122	0.4286317836
123	0.4272932916
124	0.4261580603
125	0.4246049555
126	0.4237354166
127	0.4223451213
128	0.4212805514
129	0.4199761783
130	0.4187687663
131	0.4175061398
132	0.4163109544
133	0.4153404275
134	0.4136873578
135	0.4127589118
136	0.4112766127
137	0.4094569984
138	0.4080291613
139	0.4070133416
140	0.4058239681
141	0.4046442935
142	0.4035403497
143	0.4021976072
144	0.4008993245
145	0.3997993856
146	0.3984280961
147	0.3971706344
148	0.3960148783
149	0.3948253436
150	0.3937686431
151	0.3931490054
152	0.3922881511
153	0.391127896
154	0.390210485
155	0.3889695292
156	0.3880746872
157	0.3871060034
158	0.3857769334
159	0.3847196486
160	0.3839779934
161	0.382698669
162	0.3821551139
163	0.3812982718
164	0.3803020891
165	0.3792562868
166	0.3784078738
167	0.377833142
168	0.3769503476
169	0.3760385057
170	0.3749064462
171	0.373844168
172	0.3730885773
173	0.3721831312
174	0.3713617341
175	0.3703107682
176	0.3695596339
177	0.3683848228
178	0.3671048838
179	0.3665715584
180	0.3656145248
181	0.364765846
182	0.3643039249
183	0.3632103921
184	0.3621123986
185	0.361507972
186	0.3606271105
187	0.3597649496
188	0.3590430448
189	0.3581920719
190	0.3576100907
191	0.3565132748
192	0.3558775067
193	0.3550249101
194	0.3537946661
195	0.3531165035
196	0.352332276
197	0.3515030929
198	0.3506602822
199	0.3499804256
200	0.3493747082
201	0.3487445887
202	0.3480386105
203	0.3470793768
204	0.3461136237
205	0.3452479078
206	0.3443416045
207	0.3435999879
208	0.342562784
209	0.3417592583
210	0.3412275763
211	0.3404043987
212	0.3399161716
213	0.3391288
214	0.3383539942
215	0.3377105526
216	0.3369265869
217	0.3361581311
218	0.3354577831
219	0.3347317299
220	0.3341278396
221	0.3334368847
222	0.3327672432
223	0.3319149976
224	0.3311691648
225	0.3303968426
226	0.3299098568
227	0.3291238002
228	0.3283708858
229	0.3275237541
230	0.3270304952
231	0.3266056617
232	0.3259419768
233	0.3253263676
234	0.3245652458
235	0.3240260705
236	0.323853969
237	0.3235538397
238	0.3228131821
239	0.3221320429
240	0.3218919438
241	0.3212135421
242	0.3206041019
243	0.3198434636
244	0.3191738572
245	0.3186323466
246	0.3180240013
247	0.3175060162
248	0.3172812801
249	0.3165041096
250	0.3157796512
251	0.3150238721
