iter	Passed	Remaining
443	1314	1646
444	1317	1643
445	1320	1640
446	1323	1637
447	1326	1634
448	1328	1630
449	1331	1626
450	1333	1623
451	1335	1619
452	1338	1615
453	1341	1612
454	1344	1610
455	1350	1610
456	1353	1607
457	1356	1605
458	1359	1602
459	1362	1598
460	1364	1595
461	1367	1591
462	1370	1589
463	1373	1586
464	1377	1585
465	1380	1581
466	1383	1578
467	1386	1576
468	1389	1573
469	1392	1569
470	1394	1566
471	1398	1564
472	1402	1562
473	1405	1559
474	1407	1555
475	1410	1552
476	1413	1549
477	1415	1546
478	1418	1542
479	1421	1539
480	1424	1537
481	1428	1535
482	1432	1533
483	1435	1530
484	1438	1527
485	1441	1524
486	1449	1527
487	1452	1524
488	1456	1522
489	1459	1519
490	1462	1515
491	1464	1512
492	1467	1509
493	1470	1506
494	1472	1502
495	1475	1499
496	1478	1496
497	1481	1493
498	1483	1489
499	1486	1486
500	1488	1482
501	1490	1479
502	1493	1475
503	1495	1471
504	1497	1467
505	1500	1464
506	1502	1460
507	1504	1457
508	1506	1453
509	1508	1449
510	1511	1446
511	1513	1442
512	1515	1438
513	1517	1435
514	1520	1431
515	1522	1428
516	1524	1424
517	1527	1421
518	1530	1418
519	1533	1415
520	1535	1412
521	1538	1408
522	1541	1405
523	1543	1402
524	1545	1398
525	1548	1395
526	1550	1391
527	1552	1388
528	1555	1384
529	1557	1381
530	1560	1378
531	1562	1374
532	1565	1371
533	1568	1368
534	1570	1364
535	1572	1361
536	1575	1358
537	1577	1354
538	1579	1351
539	1581	1347
540	1583	1343
541	1586	1340
542	1589	1337
543	1591	1333
544	1593	1330
545	1595	1326
546	1598	1323
547	1600	1320
548	1602	1316
549	1604	1313
550	1607	1309
551	1609	1306
552	1611	1302
553	1613	1299
554	1615	1295
555	1618	1292
556	1620	1288
557	1622	1285
558	1625	1281
559	1627	1278
560	1629	1275
561	1631	1271
562	1634	1268
563	1636	1264
564	1638	1261
565	1640	1258
566	1643	1254
567	1645	1251
568	1647	1247
569	1649	1244
570	1651	1241
571	1654	1237
572	1656	1234
573	1658	1230
574	1660	1227
575	1662	1224
576	1665	1220
577	1667	1217
578	1669	1214
579	1671	1210
580	1674	1207
581	1676	1204
582	1678	1200
583	1681	1197
584	1683	1194
585	1685	1191
586	1688	1187
587	1690	1184
588	1692	1181
589	1695	1177
590	1697	1174
591	1699	1171
592	1701	1168
593	1704	1164
594	1706	1161
595	1708	1158
596	1711	1155
597	1713	1151
598	1715	1148
599	1718	1145
600	1720	1142
601	1722	1139
602	1725	1135
603	1727	1132
604	1730	1129
605	1732	1126
606	1734	1123
607	1737	1120
608	1739	1116
609	1742	1114
610	1745	1111
611	1747	1107
612	1749	1104
613	1751	1101
614	1753	1097
615	1756	1094
616	1758	1091
617	1761	1088
618	1763	1085
619	1767	1083
620	1769	1079
621	1771	1076
622	1774	1073
