iter	MultiClass
0	2.09144537
1	1.883145852
2	1.7707835
3	1.63766625
4	1.510626042
5	1.424266472
6	1.351098403
7	1.265485984
8	1.189426259
9	1.126017611
10	1.077721092
11	1.014744521
12	0.9793770204
13	0.9365192745
14	0.8918735928
15	0.8490545549
16	0.8093557012
17	0.7768551272
18	0.7505627936
19	0.7239396584
20	0.6946724296
21	0.6675384756
22	0.6450579001
23	0.6220468448
24	0.6005942554
25	0.5801549478
26	0.5567851239
27	0.5411920719
28	0.5242875721
29	0.5079830786
30	0.4917800388
31	0.4783757124
32	0.4636676505
33	0.4491786287
34	0.4359947354
35	0.4241879716
36	0.4119244993
37	0.4021899349
38	0.389698703
39	0.3805231779
40	0.3710007277
41	0.3614421146
42	0.3538139097
43	0.3444288315
44	0.3361360732
45	0.3283768566
46	0.3194797931
47	0.3130781427
48	0.3062056793
49	0.2976615373
50	0.29139441
51	0.2833329497
52	0.2775281826
53	0.2722691182
54	0.266019541
55	0.2600329604
56	0.2546211918
57	0.2492237701
58	0.2438385735
59	0.2393721128
60	0.2351296501
61	0.2310549145
62	0.2262978558
63	0.2213686339
64	0.2170312415
65	0.2120236282
66	0.2080508585
67	0.2038695777
68	0.2005350887
69	0.1975236476
70	0.1939831586
71	0.1904175852
72	0.1875078414
73	0.1841814229
74	0.1809691863
75	0.1777981348
76	0.1737175281
77	0.1708104137
78	0.1678914445
79	0.1650545577
80	0.1619821348
81	0.1591112369
82	0.1560406255
83	0.1538177569
84	0.151347989
85	0.1498091303
86	0.1475292616
87	0.1446512421
88	0.1420998608
89	0.1397984493
90	0.1374293186
91	0.1356605846
92	0.1335563052
93	0.1311916861
94	0.1292088486
95	0.1268581579
96	0.1257458171
97	0.1241976785
98	0.1221313519
99	0.1204094505
100	0.1185055596
101	0.1170905873
102	0.115726715
103	0.1144401294
104	0.1127114869
105	0.111393393
106	0.1102033736
107	0.1083184166
108	0.1069971225
109	0.1060452465
110	0.1045614739
111	0.1033854479
112	0.1017950297
113	0.100402379
114	0.09947361737
115	0.09819342343
116	0.09694438609
117	0.09578990015
118	0.0944797247
119	0.09350393644
120	0.09253824879
121	0.09157317688
122	0.09041317686
123	0.08952735665
124	0.08844542981
125	0.08745251633
126	0.08651847195
